rewards,policy_ddpg_loss,steps,beta,policy_ppo_loss,entropy,kl,critic_loss,value_func_loss
2731.2424668051335,0.0032665138,841.75,1.0,-0.0065335725,2.1410956,0.0023931244,6.029979e-05,0.020727452371668557
2919.9143840500915,0.0034461278,900.0,1.0,-0.006552305,2.1407979,0.0021687876,5.753005e-05,0.01842092881409648
2896.556284812963,0.0035070647,894.9,1.0,-0.0058206995,2.1310196,0.0016205971,5.6222434e-05,0.01048330355622781
2859.8550968993572,0.00401015,869.55,1.0,-0.007175824,2.1258278,0.0025558067,5.473142e-05,0.018831196615630985
3064.7924735116953,0.0038666055,942.5,1.0,-0.0059910053,2.1194363,0.0020174708,5.4193075e-05,0.008723286417895918
2828.9189287375234,0.0034082476,864.2,1.0,-0.005775129,2.1123655,0.0017192337,5.213472e-05,0.020477822101159286
3067.0804827431175,0.0036253026,945.25,1.0,-0.005588767,2.1108391,0.0019412858,5.1485717e-05,0.010415428052195455
3066.983308118349,0.0031562578,937.35,1.0,-0.005871335,2.091944,0.0023984173,4.9176826e-05,0.01240870632232432
3104.3676793937543,0.003747575,937.15,1.0,-0.00520755,2.081492,0.0018642133,4.77946e-05,0.011157385510559227
2861.785932235619,0.0034159832,870.1,1.0,-0.005761214,2.0855165,0.0019612485,4.781524e-05,0.016814883894085177
2658.295821150789,0.0028906448,810.85,1.0,-0.006613309,2.0780854,0.0031502084,4.5701396e-05,0.01673337751826162
3079.695817922976,0.0039328528,944.85,0.6666666666666666,-0.0061440314,2.0665655,0.0014884862,4.528534e-05,0.007169633928841227
2838.322709449553,0.0029334514,872.5,0.6666666666666666,-0.006004554,2.0602431,0.003762459,4.5571258e-05,0.018112719565112196
3050.557748738235,0.0036329133,937.05,0.6666666666666666,-0.0066374824,2.0522106,0.003120864,4.24761e-05,0.011886305019687715
3158.8043485346275,0.0029615785,962.6,0.6666666666666666,-0.0076831225,2.0501704,0.004788119,4.35746e-05,0.008215151687982824
2891.2102497931237,0.0032156091,871.2,0.6666666666666666,-0.006926086,2.0534663,0.004567169,4.1163315e-05,0.015961964060511046
3203.3556331260993,0.0037157298,973.85,0.6666666666666666,-0.0075915228,2.0506916,0.0039515244,4.0480387e-05,0.007008922320839737
2882.415795546719,0.0031769145,864.6,0.6666666666666666,-0.0068520987,2.0455747,0.004857286,3.8826387e-05,0.017175820872728096
3132.1800450087076,0.0034981056,945.6,0.6666666666666666,-0.0067556296,2.0372236,0.0031446025,3.9570554e-05,0.009948952577594518
2876.3042838134556,0.0036229743,858.15,0.6666666666666666,-0.007035615,2.027104,0.003572856,3.6911377e-05,0.01483074964452337
2983.4887946126933,0.0036082603,905.05,0.6666666666666666,-0.0077274796,2.0146334,0.0035589854,3.6557216e-05,0.01076289086183858
3112.4205570802237,0.0037530437,932.65,0.6666666666666666,-0.0070430506,2.0095935,0.0044023637,3.7519047e-05,0.010930557566539252
2722.56840408281,0.0031467434,821.95,0.6666666666666666,-0.0069960365,1.9988923,0.0032175053,3.3644304e-05,0.016811563156665838
2939.579953506121,0.003564268,895.95,0.6666666666666666,-0.007806083,1.9988189,0.004290242,3.578634e-05,0.009509680767046322
3174.5702193884013,0.0037537813,960.4,1.0,-0.009138839,2.0043504,0.006465476,3.3869765e-05,0.007400097928601718
3009.631280818551,0.0029362636,905.15,1.0,-0.004999919,2.0051844,0.0019456715,3.3408014e-05,0.009946835067122146
3098.644642305536,0.0036468457,929.65,1.0,-0.0067165764,2.0028005,0.0020385068,3.2628737e-05,0.009873011817173406
2836.051651241824,0.0032095877,845.05,1.0,-0.006240855,1.999224,0.0027994209,3.2426477e-05,0.017309026304699732
3102.7405228903253,0.0033926493,940.75,1.0,-0.0055489046,1.9978275,0.0020883505,3.173044e-05,0.010044274215181418
3210.772437173513,0.0040631043,974.85,1.0,-0.006688522,1.9909611,0.0022828756,3.053953e-05,0.004667367691207932
3233.16320815935,0.0032817123,971.95,1.0,-0.005624785,1.9927874,0.002581286,2.9294795e-05,0.005211501987619233
2859.3993356268074,0.0032735674,851.1,1.0,-0.006871595,1.9814031,0.0037665328,3.0050038e-05,0.017750327266819483
2988.9533608947327,0.0041470807,909.55,1.0,-0.006917009,1.969641,0.0025438073,2.934808e-05,0.010210612783194512
3102.175753809918,0.003902991,936.4,1.0,-0.0071528126,1.9741213,0.002791358,2.8111643e-05,0.007306128236961448
3050.3583960025803,0.0035911317,916.9,1.0,-0.005947043,1.9756541,0.002593143,2.759757e-05,0.013206334766844097
